V, cm^3		p, atm (500 K)		p, atm (300 K)		p, atm (100 K)
1000		0.04155				0.02493				0.00831
1331		0.03121712997746	0.01873027798648	0.00624342599549
1728		0.02404513888889	0.01442708333333	0.00480902777778
2197		0.01891215293582	0.01134729176149	0.00378243058716
2744		0.01514212827988	0.00908527696793	0.00302842565598
3375		0.01231111111111	0.00738666666667	0.00246222222222
4096		0.01014404296875	0.00608642578125	0.00202880859375
4913		0.00845715448809	0.00507429269286	0.00169143089762
5832		0.00712448559671	0.00427469135802	0.00142489711934
6859		0.00605773436361	0.00363464061817	0.00121154687272
8000		0.00519375			0.00311625			0.00103875
